Quarter/Year,,2012-1,2012-2,2012-3,2012-4,2013-1,2013-2,2013-3,2013-4,2014-1,2014-2,2014-3,2014-4,2015-1,2015-2,2015-3,2015-4,2016-1,2016-2,2016-3,2016-4,2017-1,2017-2,2017-3,2017-4,2018-1,2018-2,2018-3,2018-4,2019-1,2019-2,2019-3,2019-4,2020-1,2020-2,2020-3,2020-4,2021-1,2021-2,2021-3,2021-4,2022-1,2022-2,2022-3,2022-4,2023-1,2023-2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry,ISIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, forestry and fishing",A, 289.5 , 282.1 , 284.0 , 287.5 , 279.9 , 270.3 , 269.8 , 271.5 , 256.5 , 256.1 , 273.4 , 312.4 , 347.2 , 370.8 , 378.6 , 370.8 , 353.1 , 341.3 , 330.8 , 349.0 , 356.5 , 370.2 , 367.4 , 386.4 , 368.0 , 358.1 , 322.7 , 296.1 , 233.2 , 204.2 , 194.0 , 225.9 , 256.1 , 280.1 , 285.1 , 287.8 , 256.4 , 238.6 , 219.5 , 218.7 , 204.5 , 208.5 , 196.3 , 204.7 , 196.2 , 205.2 
Mining and quarrying,B," 9,212.6 "," 8,893.6 "," 8,773.2 "," 8,486.3 "," 9,024.4 "," 9,047.8 "," 9,031.8 "," 8,871.1 "," 8,787.9 "," 8,776.8 "," 9,175.1 "," 8,986.4 "," 8,947.5 "," 8,748.3 "," 8,528.9 "," 8,371.6 "," 8,082.7 "," 7,270.2 "," 7,039.0 "," 7,672.5 "," 7,560.7 "," 7,262.8 "," 7,597.7 "," 7,427.3 "," 7,546.3 "," 7,259.0 "," 6,968.4 "," 6,816.6 "," 6,953.3 "," 6,738.2 "," 6,960.5 "," 6,863.1 "," 6,559.4 "," 6,013.6 "," 5,926.4 "," 5,650.6 "," 5,901.5 "," 5,708.6 "," 5,589.9 "," 5,669.7 "," 5,573.5 "," 5,683.4 "," 6,079.8 "," 5,670.9 "," 5,630.0 "," 5,572.6 "
Manufacturing,C," 7,888.0 "," 7,847.7 "," 7,768.4 "," 7,030.1 "," 7,692.1 "," 7,710.2 "," 7,516.2 "," 7,537.2 "," 7,451.5 "," 7,495.6 "," 7,555.8 "," 7,239.2 "," 7,497.6 "," 7,459.8 "," 7,658.9 "," 7,646.7 "," 7,642.1 "," 7,283.9 "," 7,007.1 "," 7,368.1 "," 6,845.3 "," 6,982.8 "," 7,452.0 "," 7,409.4 "," 7,314.9 "," 7,329.5 "," 7,185.7 "," 6,620.9 "," 7,064.1 "," 6,863.1 "," 7,041.1 "," 6,740.5 "," 6,701.7 "," 6,196.3 "," 5,727.0 "," 5,691.3 "," 5,980.1 "," 6,066.7 "," 6,100.6 "," 6,169.4 "," 6,308.3 "," 6,324.1 "," 6,572.4 "," 6,419.2 "," 6,189.8 "," 6,276.9 "
Of which:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Food, beverages and tobacco products",CA," 1,199.1 "," 1,200.2 "," 1,227.5 "," 1,337.8 "," 1,213.0 "," 1,199.1 "," 1,255.1 "," 1,271.0 "," 1,147.6 "," 1,167.4 "," 1,212.0 "," 1,294.5 "," 1,212.8 "," 1,225.5 "," 1,222.9 "," 1,277.1 "," 1,343.0 "," 1,334.3 "," 1,319.4 "," 1,336.6 "," 1,076.5 "," 1,130.4 "," 1,214.3 "," 1,274.9 "," 1,169.4 "," 1,290.2 "," 1,403.2 "," 1,331.1 "," 1,262.3 "," 1,365.6 "," 1,387.3 "," 1,388.3 "," 1,175.0 "," 1,201.7 "," 1,282.8 "," 1,296.6 "," 1,173.8 "," 1,382.7 "," 1,508.2 "," 1,539.9 "," 1,687.8 "," 1,843.4 "," 1,876.6 "," 1,945.2 "," 1,808.6 "," 1,881.0 "
"Textiles, clothing, leather, wood, paper and printing",CB-C, 231.6 , 280.6 , 263.9 , 281.2 , 280.7 , 286.8 , 293.4 , 301.8 , 271.8 , 289.1 , 277.5 , 271.4 , 243.1 , 262.6 , 253.4 , 279.3 , 257.8 , 266.8 , 246.2 , 277.9 , 252.7 , 244.4 , 252.1 , 247.8 , 209.1 , 217.7 , 227.0 , 220.3 , 222.9 , 229.7 , 224.9 , 208.4 , 188.6 , 189.9 , 189.2 , 183.7 , 173.2 , 181.8 , 174.0 , 194.4 , 201.4 , 204.5 , 181.7 , 172.7 , 156.4 , 173.5 
Petroleum and chemical products,CD-E," 5,959.2 "," 5,811.6 "," 5,744.2 "," 4,893.8 "," 5,703.4 "," 5,682.9 "," 5,473.8 "," 5,477.8 "," 5,520.4 "," 5,485.6 "," 5,512.9 "," 5,144.6 "," 5,498.9 "," 5,411.0 "," 5,573.5 "," 5,523.1 "," 5,480.4 "," 5,148.6 "," 4,913.0 "," 5,252.6 "," 4,954.5 "," 5,045.6 "," 5,453.8 "," 5,380.9 "," 5,429.7 "," 5,283.6 "," 5,063.8 "," 4,564.9 "," 5,041.1 "," 4,727.5 "," 4,871.9 "," 4,561.7 "," 4,775.6 "," 4,359.6 "," 3,751.9 "," 3,711.4 "," 4,086.4 "," 3,955.0 "," 3,898.1 "," 3,937.5 "," 3,895.3 "," 3,746.7 "," 3,979.6 "," 3,852.2 "," 3,729.8 "," 3,753.2 "
Other manufactured products,CF-M, 498.1 , 555.3 , 532.8 , 517.3 , 495.1 , 541.4 , 493.9 , 486.6 , 511.8 , 553.4 , 553.4 , 528.7 , 542.9 , 560.7 , 609.2 , 567.2 , 560.9 , 534.2 , 528.5 , 501.0 , 561.7 , 562.5 , 531.9 , 505.9 , 506.6 , 538.0 , 491.7 , 504.6 , 537.9 , 540.4 , 557.0 , 582.1 , 562.5 , 445.2 , 503.0 , 499.6 , 546.8 , 547.3 , 520.2 , 497.6 , 523.7 , 529.5 , 534.6 , 449.1 , 495.0 , 469.2 
